COUNTRY,YEAR,INDEX,VALUE
Lithuania,2016,Cost of Living,45.6
Lithuania,2016,Pollution,30.9
Lithuania,2016,Purchasing Power,61.3
Lithuania,2016,Quality of Life,134.3
Lithuania,2016,Traffic Commute Time,30.2
Lithuania,2017,Cost of Living,46.7
Lithuania,2017,Pollution,34.3
Lithuania,2017,Purchasing Power,51.7
Lithuania,2017,Quality of Life,130.3
Lithuania,2017,Traffic Commute Time,28.0
Lithuania,2018,Cost of Living,53.2
Lithuania,2018,Pollution,33.1
Lithuania,2018,Purchasing Power,57.3
Lithuania,2018,Quality of Life,149.0
Lithuania,2018,Traffic Commute Time,28.7
Lithuania,2019,Cost of Living,45.9
Lithuania,2019,Pollution,30.8
Lithuania,2019,Purchasing Power,60.3
Lithuania,2019,Quality of Life,156.4
Lithuania,2019,Traffic Commute Time,27.2
Lithuania,2020,Cost of Living,44.3
Lithuania,2020,Pollution,28.8
Lithuania,2020,Purchasing Power,57.8
Lithuania,2020,Quality of Life,159.4
Lithuania,2020,Traffic Commute Time,26.1
Lithuania,2021,Cost of Living,47.7
Lithuania,2021,Pollution,27.0
Lithuania,2021,Purchasing Power,54.6
Lithuania,2021,Quality of Life,160.0
Lithuania,2021,Traffic Commute Time,25.7
Lithuania,2022,Cost of Living,45.6
Lithuania,2022,Pollution,26.7
Lithuania,2022,Purchasing Power,58.7
Lithuania,2022,Quality of Life,161.8
Lithuania,2022,Traffic Commute Time,26.0
Luxembourg,2014,Cost of Living,108.8
Luxembourg,2014,Pollution,26.4
Luxembourg,2014,Purchasing Power,107.2
Luxembourg,2014,Quality of Life,162.0
Luxembourg,2014,Traffic Commute Time,27.9
Luxembourg,2015,Cost of Living,95.4
Luxembourg,2015,Pollution,25.3
Luxembourg,2015,Purchasing Power,106.5
Luxembourg,2015,Quality of Life,164.6
Luxembourg,2015,Traffic Commute Time,27.0
Luxembourg,2016,Cost of Living,81.9
Luxembourg,2016,Pollution,26.3
Luxembourg,2016,Purchasing Power,136.2
Luxembourg,2016,Quality of Life,189.8
Luxembourg,2016,Traffic Commute Time,30.7
Luxembourg,2017,Cost of Living,81.8
Luxembourg,2017,Pollution,23.1
Luxembourg,2017,Purchasing Power,110.6
Luxembourg,2017,Quality of Life,181.1
Luxembourg,2017,Traffic Commute Time,32.5
Luxembourg,2018,Cost of Living,91.6
Luxembourg,2018,Pollution,23.2
Luxembourg,2018,Purchasing Power,119.7
Luxembourg,2018,Quality of Life,184.7
Luxembourg,2018,Traffic Commute Time,32.0
Luxembourg,2019,Cost of Living,81.8
Luxembourg,2019,Pollution,24.0
Luxembourg,2019,Purchasing Power,111.6
Luxembourg,2019,Quality of Life,179.9
Luxembourg,2019,Traffic Commute Time,31.7
Luxembourg,2020,Cost of Living,80.1
Luxembourg,2020,Pollution,24.9
Luxembourg,2020,Purchasing Power,99.2
Luxembourg,2020,Quality of Life,172.9
Luxembourg,2020,Traffic Commute Time,32.3
Luxembourg,2021,Cost of Living,87.1
Luxembourg,2021,Pollution,23.7
Luxembourg,2021,Purchasing Power,90.0
Luxembourg,2021,Quality of Life,169.8
Luxembourg,2021,Traffic Commute Time,32.4
Luxembourg,2022,Cost of Living,80.5
Luxembourg,2022,Pollution,23.9
Luxembourg,2022,Purchasing Power,98.8
Luxembourg,2022,Quality of Life,173.6
Luxembourg,2022,Traffic Commute Time,32.7
Malta,2014,Cost of Living,99.0
Malta,2014,Pollution,79.5
Malta,2014,Purchasing Power,51.1
Malta,2014,Quality of Life,67.7
Malta,2014,Traffic Commute Time,32.0
Malta,2015,Cost of Living,83.0
Malta,2015,Pollution,77.4
Malta,2015,Purchasing Power,56.8
Malta,2015,Quality of Life,79.1
Malta,2015,Traffic Commute Time,29.5
Malta,2016,Cost of Living,67.3
Malta,2016,Pollution,78.6
Malta,2016,Purchasing Power,81.2
Malta,2016,Quality of Life,131.4
Malta,2016,Traffic Commute Time,27.9
Malta,2017,Cost of Living,75.5
Malta,2017,Pollution,79.1
Malta,2017,Purchasing Power,57.4
Malta,2017,Quality of Life,117.7
Malta,2017,Traffic Commute Time,29.1
Malta,2018,Cost of Living,78.4
Malta,2018,Pollution,80.9
Malta,2018,Purchasing Power,58.9
Malta,2018,Quality of Life,114.9
Malta,2018,Traffic Commute Time,29.6
Malta,2019,Cost of Living,69.5
Malta,2019,Pollution,80.7
Malta,2019,Purchasing Power,55.3
Malta,2019,Quality of Life,114.9
Malta,2019,Traffic Commute Time,28.7
Malta,2020,Cost of Living,67.9
Malta,2020,Pollution,82.5
Malta,2020,Purchasing Power,47.8
Malta,2020,Quality of Life,111.0
Malta,2020,Traffic Commute Time,29.3
Malta,2021,Cost of Living,74.1
Malta,2021,Pollution,80.8
Malta,2021,Purchasing Power,42.7
Malta,2021,Quality of Life,108.8
Malta,2021,Traffic Commute Time,29.3
Malta,2022,Cost of Living,67.8
Malta,2022,Pollution,81.0
Malta,2022,Purchasing Power,44.2
Malta,2022,Quality of Life,109.5
Malta,2022,Traffic Commute Time,29.1
Netherlands,2014,Cost of Living,98.8
Netherlands,2014,Pollution,32.4
Netherlands,2014,Purchasing Power,97.5
Netherlands,2014,Quality of Life,161.0
Netherlands,2014,Traffic Commute Time,35.1
Netherlands,2015,Cost of Living,86.0
Netherlands,2015,Pollution,35.0
Netherlands,2015,Purchasing Power,102.0
Netherlands,2015,Quality of Life,166.8
Netherlands,2015,Traffic Commute Time,35.5
Netherlands,2016,Cost of Living,72.1
Netherlands,2016,Pollution,32.8
Netherlands,2016,Purchasing Power,129.3
Netherlands,2016,Quality of Life,192.4
Netherlands,2016,Traffic Commute Time,35.5
Netherlands,2017,Cost of Living,72.5
Netherlands,2017,Pollution,27.6
Netherlands,2017,Purchasing Power,86.5
Netherlands,2017,Quality of Life,175.2
Netherlands,2017,Traffic Commute Time,33.9
Netherlands,2018,Cost of Living,82.7
Netherlands,2018,Pollution,27.2
Netherlands,2018,Purchasing Power,109.5
Netherlands,2018,Quality of Life,191.3
Netherlands,2018,Traffic Commute Time,32.7
Netherlands,2019,Cost of Living,74.8
Netherlands,2019,Pollution,27.4
Netherlands,2019,Purchasing Power,102.5
Netherlands,2019,Quality of Life,188.9
Netherlands,2019,Traffic Commute Time,29.9
Netherlands,2020,Cost of Living,73.7
Netherlands,2020,Pollution,27.4
Netherlands,2020,Purchasing Power,90.7
Netherlands,2020,Quality of Life,183.7
Netherlands,2020,Traffic Commute Time,29.4
Netherlands,2021,Cost of Living,78.6
Netherlands,2021,Pollution,25.3
Netherlands,2021,Purchasing Power,83.9
Netherlands,2021,Quality of Life,183.3
Netherlands,2021,Traffic Commute Time,27.8
Netherlands,2022,Cost of Living,75.7
Netherlands,2022,Pollution,25.1
Netherlands,2022,Purchasing Power,88.0
Netherlands,2022,Quality of Life,185.4
Netherlands,2022,Traffic Commute Time,27.4
Poland,2014,Cost of Living,53.7
Poland,2014,Pollution,50.5
Poland,2014,Purchasing Power,57.6
Poland,2014,Quality of Life,95.2
Poland,2014,Traffic Commute Time,35.3
Poland,2015,Cost of Living,45.1
Poland,2015,Pollution,50.6
Poland,2015,Purchasing Power,63.5
Poland,2015,Quality of Life,109.7
Poland,2015,Traffic Commute Time,34.7
Poland,2016,Cost of Living,38.5
Poland,2016,Pollution,49.9
Poland,2016,Purchasing Power,80.8
Poland,2016,Quality of Life,153.6
Poland,2016,Traffic Commute Time,34.5
Poland,2017,Cost of Living,38.1
Poland,2017,Pollution,50.3
Poland,2017,Purchasing Power,71.8
Poland,2017,Quality of Life,150.2
Poland,2017,Traffic Commute Time,34.6
Poland,2018,Cost of Living,45.2
Poland,2018,Pollution,51.1
Poland,2018,Purchasing Power,74.4
Poland,2018,Quality of Life,146.6
Poland,2018,Traffic Commute Time,33.6
Poland,2019,Cost of Living,39.1
Poland,2019,Pollution,52.4
Poland,2019,Purchasing Power,70.0
Poland,2019,Quality of Life,148.0
Poland,2019,Traffic Commute Time,32.2
Poland,2020,Cost of Living,40.0
Poland,2020,Pollution,54.5
Poland,2020,Purchasing Power,59.6
Poland,2020,Quality of Life,141.8
Poland,2020,Traffic Commute Time,31.7
Poland,2021,Cost of Living,42.0
Poland,2021,Pollution,54.3
Poland,2021,Purchasing Power,47.1
Poland,2021,Quality of Life,132.6
Poland,2021,Traffic Commute Time,31.3
Poland,2022,Cost of Living,39.0
Poland,2022,Pollution,54.7
Poland,2022,Purchasing Power,60.0
Poland,2022,Quality of Life,140.0
Poland,2022,Traffic Commute Time,31.8
Portugal,2014,Cost of Living,69.3
Portugal,2014,Pollution,30.9
Portugal,2014,Purchasing Power,54.6
Portugal,2014,Quality of Life,124.7
Portugal,2014,Traffic Commute Time,28.9
Portugal,2015,Cost of Living,58.2
Portugal,2015,Pollution,32.6
Portugal,2015,Purchasing Power,58.2
Portugal,2015,Quality of Life,129.2
Portugal,2015,Traffic Commute Time,28.2
Portugal,2016,Cost of Living,49.8
Portugal,2016,Pollution,31.8
Portugal,2016,Purchasing Power,75.5
Portugal,2016,Quality of Life,181.2
Portugal,2016,Traffic Commute Time,30.6
Portugal,2017,Cost of Living,49.2
Portugal,2017,Pollution,28.9
Portugal,2017,Purchasing Power,62.7
Portugal,2017,Quality of Life,178.4
Portugal,2017,Traffic Commute Time,30.4
Portugal,2018,Cost of Living,55.9
Portugal,2018,Pollution,30.5
Portugal,2018,Purchasing Power,62.0
Portugal,2018,Quality of Life,166.7
Portugal,2018,Traffic Commute Time,30.3
Portugal,2019,Cost of Living,50.4
Portugal,2019,Pollution,31.6
Portugal,2019,Purchasing Power,55.2
Portugal,2019,Quality of Life,163.5
Portugal,2019,Traffic Commute Time,29.0
Portugal,2020,Cost of Living,49.5
Portugal,2020,Pollution,30.9
Portugal,2020,Purchasing Power,49.4
Portugal,2020,Quality of Life,162.9
Portugal,2020,Traffic Commute Time,30.0
Portugal,2021,Cost of Living,52.9
Portugal,2021,Pollution,29.6
Portugal,2021,Purchasing Power,45.0
Portugal,2021,Quality of Life,161.9
Portugal,2021,Traffic Commute Time,29.6
Portugal,2022,Cost of Living,47.9
Portugal,2022,Pollution,30.5
Portugal,2022,Purchasing Power,46.8
Portugal,2022,Quality of Life,162.5
Portugal,2022,Traffic Commute Time,29.9
Romania,2014,Cost of Living,48.2
Romania,2014,Pollution,62.6
Romania,2014,Purchasing Power,36.5
Romania,2014,Quality of Life,63.3
Romania,2014,Traffic Commute Time,33.3
Romania,2015,Cost of Living,42.4
Romania,2015,Pollution,50.5
Romania,2015,Purchasing Power,40.6
Romania,2015,Quality of Life,83.6
Romania,2015,Traffic Commute Time,30.7
Romania,2016,Cost of Living,34.8
Romania,2016,Pollution,50.5
Romania,2016,Purchasing Power,61.9
Romania,2016,Quality of Life,146.1
Romania,2016,Traffic Commute Time,33.3
Romania,2017,Cost of Living,35.6
Romania,2017,Pollution,50.9
Romania,2017,Purchasing Power,53.4
Romania,2017,Quality of Life,143.0
Romania,2017,Traffic Commute Time,32.0
Romania,2018,Cost of Living,39.7
Romania,2018,Pollution,53.0
Romania,2018,Purchasing Power,66.2
Romania,2018,Quality of Life,144.0
Romania,2018,Traffic Commute Time,33.4
Romania,2019,Cost of Living,36.5
Romania,2019,Pollution,55.4
Romania,2019,Purchasing Power,61.2
Romania,2019,Quality of Life,140.3
Romania,2019,Traffic Commute Time,34.4
Romania,2020,Cost of Living,35.3
Romania,2020,Pollution,58.4
Romania,2020,Purchasing Power,48.9
Romania,2020,Quality of Life,132.4
Romania,2020,Traffic Commute Time,34.7
Romania,2021,Cost of Living,38.5
Romania,2021,Pollution,58.4
Romania,2021,Purchasing Power,45.2
Romania,2021,Quality of Life,131.7
Romania,2021,Traffic Commute Time,34.1
Romania,2022,Cost of Living,35.2
Romania,2022,Pollution,58.6
Romania,2022,Purchasing Power,48.1
Romania,2022,Quality of Life,133.4
Romania,2022,Traffic Commute Time,33.6
Slovakia,2014,Cost of Living,61.5
Slovakia,2014,Pollution,40.8
Slovakia,2014,Purchasing Power,52.4
Slovakia,2014,Quality of Life,108.7
Slovakia,2014,Traffic Commute Time,37.5
Slovakia,2015,Cost of Living,51.6
Slovakia,2015,Pollution,47.9
Slovakia,2015,Purchasing Power,56.0
Slovakia,2015,Quality of Life,109.1
Slovakia,2015,Traffic Commute Time,30.4
Slovakia,2016,Cost of Living,52.3
Slovakia,2016,Pollution,43.2
Slovakia,2016,Purchasing Power,58.7
Slovakia,2016,Quality of Life,128.8
Slovakia,2016,Traffic Commute Time,33.6
Slovakia,2017,Cost of Living,44.9
Slovakia,2017,Pollution,43.5
Slovakia,2017,Purchasing Power,64.7
Slovakia,2017,Quality of Life,152.5
Slovakia,2017,Traffic Commute Time,36.0
Slovakia,2018,Cost of Living,50.4
Slovakia,2018,Pollution,40.7
Slovakia,2018,Purchasing Power,67.3
Slovakia,2018,Quality of Life,155.4
Slovakia,2018,Traffic Commute Time,32.2
Slovakia,2019,Cost of Living,45.0
Slovakia,2019,Pollution,41.9
Slovakia,2019,Purchasing Power,63.2
Slovakia,2019,Quality of Life,153.1
Slovakia,2019,Traffic Commute Time,29.6
Slovakia,2020,Cost of Living,44.5
Slovakia,2020,Pollution,39.7
Slovakia,2020,Purchasing Power,56.9
Slovakia,2020,Quality of Life,152.5
Slovakia,2020,Traffic Commute Time,29.1
Slovakia,2021,Cost of Living,49.1
Slovakia,2021,Pollution,39.1
Slovakia,2021,Purchasing Power,50.4
Slovakia,2021,Quality of Life,149.7
Slovakia,2021,Traffic Commute Time,27.8
Slovakia,2022,Cost of Living,44.7
Slovakia,2022,Pollution,39.1
Slovakia,2022,Purchasing Power,54.7
Slovakia,2022,Quality of Life,151.2
Slovakia,2022,Traffic Commute Time,28.2
Slovenia,2014,Cost of Living,75.4
Slovenia,2014,Pollution,33.0
Slovenia,2014,Purchasing Power,60.4
Slovenia,2014,Quality of Life,125.6
Slovenia,2014,Traffic Commute Time,20.7
Slovenia,2015,Cost of Living,65.1
Slovenia,2015,Pollution,31.4
Slovenia,2015,Purchasing Power,64.2
Slovenia,2015,Quality of Life,134.5
Slovenia,2015,Traffic Commute Time,18.8
Slovenia,2016,Cost of Living,52.2
Slovenia,2016,Pollution,28.2
Slovenia,2016,Purchasing Power,89.8
Slovenia,2016,Quality of Life,175.9
Slovenia,2016,Traffic Commute Time,25.0
Slovenia,2017,Cost of Living,53.2
Slovenia,2017,Pollution,26.4
Slovenia,2017,Purchasing Power,78.2
Slovenia,2017,Quality of Life,175.5
Slovenia,2017,Traffic Commute Time,26.5
Slovenia,2018,Cost of Living,59.6
Slovenia,2018,Pollution,26.2
Slovenia,2018,Purchasing Power,80.3
Slovenia,2018,Quality of Life,175.4
Slovenia,2018,Traffic Commute Time,27.8
Slovenia,2019,Cost of Living,52.5
Slovenia,2019,Pollution,24.3
Slovenia,2019,Purchasing Power,75.4
Slovenia,2019,Quality of Life,176.0
Slovenia,2019,Traffic Commute Time,24.8
Slovenia,2020,Cost of Living,53.4
Slovenia,2020,Pollution,24.1
Slovenia,2020,Purchasing Power,66.3
Slovenia,2020,Quality of Life,172.2
Slovenia,2020,Traffic Commute Time,27.3
Slovenia,2021,Cost of Living,59.4
Slovenia,2021,Pollution,22.7
Slovenia,2021,Purchasing Power,56.1
Slovenia,2021,Quality of Life,168.2
Slovenia,2021,Traffic Commute Time,26.8
Slovenia,2022,Cost of Living,53.9
Slovenia,2022,Pollution,22.9
Slovenia,2022,Purchasing Power,59.5
Slovenia,2022,Quality of Life,169.0
Slovenia,2022,Traffic Commute Time,26.5
Spain,2014,Cost of Living,77.2
Spain,2014,Pollution,49.8
Spain,2014,Purchasing Power,72.5
Spain,2014,Quality of Life,123.6
Spain,2014,Traffic Commute Time,32.0
Spain,2015,Cost of Living,65.7
Spain,2015,Pollution,46.3
Spain,2015,Purchasing Power,76.7
Spain,2015,Quality of Life,134.9
Spain,2015,Traffic Commute Time,28.9
Spain,2016,Cost of Living,56.1
Spain,2016,Pollution,46.6
Spain,2016,Purchasing Power,105.3
Spain,2016,Quality of Life,186.4
Spain,2016,Traffic Commute Time,30.5
Spain,2017,Cost of Living,55.0
Spain,2017,Pollution,37.5
Spain,2017,Purchasing Power,87.9
Spain,2017,Quality of Life,183.6
Spain,2017,Traffic Commute Time,32.6
Spain,2018,Cost of Living,61.8
Spain,2018,Pollution,38.1
Spain,2018,Purchasing Power,90.7
Spain,2018,Quality of Life,174.9
Spain,2018,Traffic Commute Time,31.4
Spain,2019,Cost of Living,54.7
Spain,2019,Pollution,39.4
Spain,2019,Purchasing Power,83.8
Spain,2019,Quality of Life,174.2
Spain,2019,Traffic Commute Time,29.4
Spain,2020,Cost of Living,53.8
Spain,2020,Pollution,40.0
Spain,2020,Purchasing Power,72.0
Spain,2020,Quality of Life,169.8
Spain,2020,Traffic Commute Time,29.1
Spain,2021,Cost of Living,59.1
Spain,2021,Pollution,39.6
Spain,2021,Purchasing Power,62.7
Spain,2021,Quality of Life,164.5
Spain,2021,Traffic Commute Time,29.4
Spain,2022,Cost of Living,53.9
Spain,2022,Pollution,39.7
Spain,2022,Purchasing Power,70.0
Spain,2022,Quality of Life,168.5
Spain,2022,Traffic Commute Time,29.2
Sweden,2014,Cost of Living,103.7
Sweden,2014,Pollution,17.5
Sweden,2014,Purchasing Power,106.1
Sweden,2014,Quality of Life,180.9
Sweden,2014,Traffic Commute Time,34.1
Sweden,2015,Cost of Living,82.9
Sweden,2015,Pollution,15.1
Sweden,2015,Purchasing Power,110.9
Sweden,2015,Quality of Life,193.9
Sweden,2015,Traffic Commute Time,26.9
Sweden,2016,Cost of Living,75.7
Sweden,2016,Pollution,18.3
Sweden,2016,Purchasing Power,128.2
Sweden,2016,Quality of Life,185.8
Sweden,2016,Traffic Commute Time,32.0
Sweden,2017,Cost of Living,75.9
Sweden,2017,Pollution,17.9
Sweden,2017,Purchasing Power,107.2
Sweden,2017,Quality of Life,172.7
Sweden,2017,Traffic Commute Time,31.6
Sweden,2018,Cost of Living,83.7
Sweden,2018,Pollution,19.1
Sweden,2018,Purchasing Power,113.0
Sweden,2018,Quality of Life,176.8
Sweden,2018,Traffic Commute Time,30.7
Sweden,2019,Cost of Living,71.6
Sweden,2019,Pollution,18.0
Sweden,2019,Purchasing Power,111.4
Sweden,2019,Quality of Life,178.7
Sweden,2019,Traffic Commute Time,30.3
Sweden,2020,Cost of Living,69.8
Sweden,2020,Pollution,18.1
Sweden,2020,Purchasing Power,101.7
Sweden,2020,Quality of Life,175.9
Sweden,2020,Traffic Commute Time,30.5
Sweden,2021,Cost of Living,79.2
Sweden,2021,Pollution,18.4
Sweden,2021,Purchasing Power,90.6
Sweden,2021,Quality of Life,171.4
Sweden,2021,Traffic Commute Time,29.9
Sweden,2022,Cost of Living,71.7
Sweden,2022,Pollution,18.3
Sweden,2022,Purchasing Power,98.1
Sweden,2022,Quality of Life,175.3
Sweden,2022,Traffic Commute Time,29.4
